work_year,experience_level,salary_in_usd,remote_ratio,company_size,tipe_kerja_CT,tipe_kerja_FL,tipe_kerja_FT,tipe_kerja_PT,frekuensi_jabatan,employee_residence_encoded,company_location_encoded,Label_Cluster,Cluster,cluster
2023,3,85847,100,3,False,False,True,False,8,47,44,1,1,7
2023,2,30000,100,1,True,False,False,False,34,1893,1929,2,0,8
2023,2,25500,100,1,True,False,False,False,34,1893,1929,2,0,8
2023,3,175000,100,2,False,False,True,False,538,81,83,1,1,7
2023,3,120000,100,2,False,False,True,False,538,81,83,1,1,7
2023,3,222200,0,3,False,False,True,False,31,1893,1929,0,2,5
2023,3,136000,0,3,False,False,True,False,31,1893,1929,0,2,0
2023,3,219000,0,2,False,False,True,False,538,81,83,0,1,6
2023,3,141000,0,2,False,False,True,False,538,81,83,1,1,7
2023,3,147100,0,2,False,False,True,False,538,1893,1929,0,0,0
2023,3,90700,0,2,False,False,True,False,538,1893,1929,0,0,0
2023,3,130000,100,2,False,False,True,False,396,1893,1929,0,0,0
2023,3,100000,100,2,False,False,True,False,396,1893,1929,0,0,0
2023,1,213660,0,3,False,False,True,False,31,1893,1929,0,2,3
2023,1,130760,0,3,False,False,True,False,31,1893,1929,0,2,6
2023,3,147100,0,2,False,False,True,False,2,1893,1929,0,2,0
2023,3,90700,0,2,False,False,True,False,2,1893,1929,0,2,0
2023,3,170000,0,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,150000,0,2,False,False,True,False,538,1893,1929,0,0,0
2023,2,150000,100,2,False,False,True,False,396,1893,1929,0,0,3
2023,2,110000,100,2,False,False,True,False,396,1893,1929,0,0,3
2023,3,275000,0,2,False,False,True,False,33,47,55,0,2,6
2023,3,174000,0,2,False,False,True,False,33,47,55,1,1,7
2023,3,230000,100,2,False,False,True,False,91,150,155,1,2,6
2023,3,143200,100,2,False,False,True,False,91,150,155,1,1,7
2023,3,225000,0,2,False,False,True,False,4,1893,1929,0,2,5
2023,3,156400,0,2,False,False,True,False,4,1893,1929,0,2,0
2023,3,200000,0,2,False,False,True,False,206,1893,1929,0,2,5
2023,3,130000,0,2,False,False,True,False,206,1893,1929,0,2,0
2023,3,90000,0,2,False,False,True,False,2,81,83,1,1,7
2023,3,72000,0,2,False,False,True,False,2,81,83,1,1,7
2023,3,253200,0,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,90700,0,2,False,False,True,False,598,1893,1929,0,0,0
2023,3,342810,0,2,False,False,True,False,18,1893,1929,0,2,5
2023,3,184590,0,2,False,False,True,False,18,1893,1929,0,2,5
2023,2,162500,0,2,False,False,True,False,598,1893,1929,0,0,0
2023,2,130000,0,2,False,False,True,False,598,1893,1929,0,0,0
2023,2,105380,0,2,False,False,True,False,396,1893,1929,0,0,3
2023,2,64500,0,2,False,False,True,False,396,1893,1929,0,0,3
2023,1,100000,100,3,False,False,True,False,5,7,5,1,1,4
2023,1,30000,100,3,False,False,True,False,1,7,5,1,1,4
2022,2,20984,50,3,False,False,True,False,206,70,57,1,1,4
2023,1,204620,0,3,False,False,True,False,31,1893,1929,0,2,3
2023,1,110680,0,3,False,False,True,False,31,1893,1929,0,2,6
2023,3,270703,0,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,221484,0,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,212750,100,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,185000,100,2,False,False,True,False,538,1893,1929,0,0,0
2023,3,262000,100,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,245000,100,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,275300,100,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,183500,100,2,False,False,True,False,538,1893,1929,0,0,0
2023,3,218500,100,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,199098,100,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,203300,100,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,123600,100,2,False,False,True,False,598,1893,1929,0,0,0
2023,3,189110,0,2,False,False,True,False,33,1893,1929,0,2,5
2023,3,139000,0,2,False,False,True,False,33,1893,1929,0,2,0
2023,4,258750,0,2,False,False,True,False,538,1893,1929,0,2,5
2023,4,185000,0,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,231500,100,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,166000,100,2,False,False,True,False,598,1893,1929,0,0,0
2023,3,172500,100,2,False,False,True,False,538,1893,1929,0,0,0
2023,3,110500,100,2,False,False,True,False,538,1893,1929,0,0,0
2023,3,238000,0,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,176000,0,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,237000,100,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,201450,100,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,309400,0,3,False,False,True,False,31,1893,1929,0,2,5
2023,3,159100,0,3,False,False,True,False,31,1893,1929,0,2,0
2023,3,115000,0,2,False,False,True,False,598,1893,1929,0,0,0
2023,3,81500,0,2,False,False,True,False,598,1893,1929,0,0,0
2023,3,237000,100,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,201450,100,2,False,False,True,False,538,1893,1929,0,0,5
2023,3,280000,0,2,False,False,True,False,18,1893,1929,0,2,5
2023,3,210000,0,2,False,False,True,False,18,1893,1929,0,2,5
2023,3,280100,100,2,False,False,True,False,64,1893,1929,0,2,5
2023,3,168100,100,2,False,False,True,False,64,1893,1929,0,2,0
2023,3,193500,100,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,139000,100,2,False,False,True,False,598,1893,1929,0,0,0
2023,2,65062,0,3,False,False,True,False,538,2,1,1,1,1
2023,3,150000,100,2,False,False,True,False,206,18,1929,0,2,6
2023,2,69751,100,1,False,False,True,False,2,70,55,1,1,1
2022,1,300000,50,3,False,False,True,False,11,70,57,1,1,7
2023,2,96578,100,3,False,False,True,False,206,15,13,1,1,1
2023,3,185900,0,2,False,False,True,False,4,1893,1929,0,2,5
2023,3,129300,0,2,False,False,True,False,4,1893,1929,0,2,0
2023,3,225000,100,2,False,False,True,False,598,1893,1929,0,0,5
2023,3,175000,100,2,False,False,True,False,598,1893,1929,0,0,0
2023,3,185000,0,2,False,False,True,False,598,1893,1929,0,0,5
